INFO 2020-08-01 14:26:38,474 autoreload 578 Watching for file changes with StatReloader
INFO 2020-08-01 14:27:48,688 autoreload 578 Watching for file changes with StatReloader
INFO 2020-08-01 14:28:52,945 autoreload 578 Watching for file changes with StatReloader
INFO 2020-08-01 14:31:13,937 autoreload 578 Watching for file changes with StatReloader
INFO 2020-08-01 14:32:38,373 autoreload 578 Watching for file changes with StatReloader
INFO 2020-08-01 14:32:46,441 autoreload 578 Watching for file changes with StatReloader
INFO 2020-08-01 14:34:00,188 autoreload 578 Watching for file changes with StatReloader
WARNING 2020-08-01 14:32:53,641 log 222 Not Found: /
INFO 2020-08-01 14:33:06,549 basehttp 154 "GET /users/register HTTP/1.1" 301 0
INFO 2020-08-01 14:36:49,541 autoreload 578 Watching for file changes with StatReloader
WARNING 2020-08-01 14:36:51,801 log 222 Not Found: /
WARNING 2020-08-01 14:36:51,802 basehttp 154 "GET / HTTP/1.1" 404 1921
WARNING 2020-08-01 14:36:51,907 log 222 Not Found: /favicon.ico
WARNING 2020-08-01 14:36:51,907 basehttp 154 "GET /favicon.ico HTTP/1.1" 404 1972
INFO 2020-08-01 14:37:12,831 basehttp 154 "GET /users/register/ HTTP/1.1" 200 2969
WARNING 2020-08-01 14:37:12,862 log 222 Not Found: /users/static/css/main.css
WARNING 2020-08-01 14:37:12,863 log 222 Not Found: /users/static/css/reset.css
WARNING 2020-08-01 14:37:12,864 log 222 Not Found: /users/static/images/1.png
WARNING 2020-08-01 14:37:12,865 log 222 Not Found: /users/static/images/pic_code.jpg
WARNING 2020-08-01 14:37:12,865 basehttp 154 "GET /users/static/css/reset.css HTTP/1.1" 404 2090
WARNING 2020-08-01 14:37:12,866 basehttp 154 "GET /users/static/css/main.css HTTP/1.1" 404 2087
WARNING 2020-08-01 14:37:12,866 basehttp 154 "GET /users/static/images/pic_code.jpg HTTP/1.1" 404 2108
WARNING 2020-08-01 14:37:12,866 basehttp 154 "GET /users/static/images/1.png HTTP/1.1" 404 2087
WARNING 2020-08-01 14:38:54,886 log 222 Not Found: /users/static/css/reset.css
WARNING 2020-08-01 14:38:54,887 basehttp 154 "GET /users/static/css/reset.css HTTP/1.1" 404 2090
WARNING 2020-08-01 14:38:54,890 log 222 Not Found: /users/static/css/main.css
WARNING 2020-08-01 14:38:54,891 basehttp 154 "GET /users/static/css/main.css HTTP/1.1" 404 2087
INFO 2020-08-01 14:39:13,895 basehttp 154 "GET /users/register/ HTTP/1.1" 200 3004
WARNING 2020-08-01 14:39:13,925 basehttp 154 "GET /static/ HTTP/1.1" 404 1634
WARNING 2020-08-01 14:39:13,928 log 222 Not Found: /users/static/images/1.png
WARNING 2020-08-01 14:39:13,930 log 222 Not Found: /users/static/images/pic_code.jpg
WARNING 2020-08-01 14:39:13,931 log 222 Not Found: /users/static/css/main.css
WARNING 2020-08-01 14:39:13,932 log 222 Not Found: /users/static/css/reset.css
WARNING 2020-08-01 14:39:13,932 basehttp 154 "GET /users/static/images/1.png HTTP/1.1" 404 2087
WARNING 2020-08-01 14:39:13,933 basehttp 154 "GET /users/static/css/main.css HTTP/1.1" 404 2087
WARNING 2020-08-01 14:39:13,933 basehttp 154 "GET /users/static/images/pic_code.jpg HTTP/1.1" 404 2108
WARNING 2020-08-01 14:39:13,934 basehttp 154 "GET /users/static/css/reset.css HTTP/1.1" 404 2090
INFO 2020-08-01 14:42:48,611 autoreload 578 Watching for file changes with StatReloader
INFO 2020-08-01 14:42:48,880 basehttp 154 "GET /users/register/ HTTP/1.1" 200 2998
WARNING 2020-08-01 14:42:48,917 basehttp 154 "GET /static/ HTTP/1.1" 404 1634
WARNING 2020-08-01 14:42:48,919 log 222 Not Found: /users/static/images/pic_code.jpg
WARNING 2020-08-01 14:42:48,919 basehttp 154 "GET /users/static/images/pic_code.jpg HTTP/1.1" 404 2108
INFO 2020-08-01 14:42:48,938 basehttp 154 "GET /static/css/reset.css HTTP/1.1" 200 638
INFO 2020-08-01 14:42:48,939 basehttp 154 "GET /static/images/1.png HTTP/1.1" 200 3555
INFO 2020-08-01 14:42:48,940 basehttp 154 "GET /static/css/main.css HTTP/1.1" 200 40091
INFO 2020-08-01 14:42:48,957 basehttp 154 "GET /static/images/icons02.png HTTP/1.1" 200 3935
INFO 2020-08-01 14:42:48,957 basehttp 154 "GET /static/images/interval_line.png HTTP/1.1" 200 1123
INFO 2020-08-01 14:42:48,958 basehttp 154 "GET /static/images/register_banner.png HTTP/1.1" 200 54894
INFO 2020-08-01 14:44:11,058 autoreload 578 Watching for file changes with StatReloader
INFO 2020-08-01 14:44:13,187 basehttp 154 "GET /users/register/ HTTP/1.1" 200 2996
INFO 2020-08-01 14:44:13,220 basehttp 154 "GET /static/css/reset.css HTTP/1.1" 200 638
INFO 2020-08-01 14:44:13,221 basehttp 154 "GET /static/css/main.css HTTP/1.1" 200 40091
INFO 2020-08-01 14:44:13,222 basehttp 154 "GET /static/images/1.png HTTP/1.1" 200 3555
INFO 2020-08-01 14:44:13,223 basehttp 154 "GET /static/images/pic_code.jpg HTTP/1.1" 200 4507
WARNING 2020-08-01 14:44:13,225 basehttp 154 "GET /static/ HTTP/1.1" 404 1634
INFO 2020-08-01 14:44:13,239 basehttp 154 "GET /static/images/interval_line.png HTTP/1.1" 200 1123
INFO 2020-08-01 14:44:13,240 basehttp 154 "GET /static/images/icons02.png HTTP/1.1" 200 3935
INFO 2020-08-01 14:44:13,240 basehttp 154 "GET /static/images/register_banner.png HTTP/1.1" 200 54894
INFO 2020-08-01 14:47:06,018 autoreload 578 Watching for file changes with StatReloader
INFO 2020-08-01 14:47:12,395 basehttp 154 "GET /users/register/ HTTP/1.1" 200 3116
INFO 2020-08-01 14:47:12,424 basehttp 154 "GET /static/css/reset.css HTTP/1.1" 200 638
INFO 2020-08-01 14:47:12,425 basehttp 154 "GET /static/js/register.js HTTP/1.1" 200 0
INFO 2020-08-01 14:47:12,427 basehttp 154 "GET /static/css/main.css HTTP/1.1" 200 40091
INFO 2020-08-01 14:47:12,428 basehttp 154 "GET /static/images/1.png HTTP/1.1" 200 3555
INFO 2020-08-01 14:47:12,431 basehttp 154 "GET /static/images/pic_code.jpg HTTP/1.1" 200 4507
INFO 2020-08-01 14:47:12,440 basehttp 154 "GET /static/images/interval_line.png HTTP/1.1" 200 1123
INFO 2020-08-01 14:47:12,440 basehttp 154 "GET /static/images/icons02.png HTTP/1.1" 200 3935
INFO 2020-08-01 14:47:12,441 basehttp 154 "GET /static/images/register_banner.png HTTP/1.1" 200 54894
INFO 2020-08-01 14:47:12,468 basehttp 154 "GET /static/js/axios-0.18.0.min.js HTTP/1.1" 200 12941
INFO 2020-08-01 14:47:12,513 basehttp 154 "GET /static/js/vue-2.5.16.js HTTP/1.1" 200 289307
WARNING 2020-08-01 14:47:12,543 basehttp 154 "GET /static/js/axios.min.map HTTP/1.1" 404 1672
INFO 2020-08-01 15:35:26,890 autoreload 203 D:\郝艺杰\Django项目自己写\lgshop\apps\users\views.py changed, reloading.
INFO 2020-08-01 15:35:27,925 autoreload 578 Watching for file changes with StatReloader
INFO 2020-08-01 15:37:30,449 autoreload 578 Watching for file changes with StatReloader
INFO 2020-08-01 15:37:30,781 basehttp 154 "GET /users/register/ HTTP/1.1" 200 3387
INFO 2020-08-01 15:37:30,818 basehttp 154 "GET /static/css/reset.css HTTP/1.1" 200 638
INFO 2020-08-01 15:37:30,819 basehttp 154 "GET /static/css/main.css HTTP/1.1" 200 40091
INFO 2020-08-01 15:37:30,822 basehttp 154 "GET /static/images/1.png HTTP/1.1" 200 3555
INFO 2020-08-01 15:37:30,823 basehttp 154 "GET /static/js/register.js HTTP/1.1" 200 2765
INFO 2020-08-01 15:37:30,824 basehttp 154 "GET /static/js/axios-0.18.0.min.js HTTP/1.1" 200 12941
INFO 2020-08-01 15:37:30,828 basehttp 154 "GET /static/images/pic_code.jpg HTTP/1.1" 200 4507
INFO 2020-08-01 15:37:30,829 basehttp 154 "GET /static/js/vue-2.5.16.js HTTP/1.1" 200 289307
INFO 2020-08-01 15:37:30,841 basehttp 154 "GET /static/images/interval_line.png HTTP/1.1" 200 1123
INFO 2020-08-01 15:37:30,841 basehttp 154 "GET /static/images/icons02.png HTTP/1.1" 200 3935
INFO 2020-08-01 15:37:30,842 basehttp 154 "GET /static/images/register_banner.png HTTP/1.1" 200 54894
WARNING 2020-08-01 15:37:30,955 basehttp 154 "GET /static/js/axios.min.map HTTP/1.1" 404 1672
INFO 2020-08-01 15:38:19,308 autoreload 578 Watching for file changes with StatReloader
INFO 2020-08-01 15:38:21,768 basehttp 154 "GET /users/register/ HTTP/1.1" 200 3387
INFO 2020-08-01 15:38:21,809 basehttp 154 "GET /static/css/reset.css HTTP/1.1" 200 638
INFO 2020-08-01 15:38:21,810 basehttp 154 "GET /static/css/main.css HTTP/1.1" 200 40091
INFO 2020-08-01 15:38:21,814 basehttp 154 "GET /static/images/1.png HTTP/1.1" 200 3555
INFO 2020-08-01 15:38:21,814 basehttp 154 "GET /static/js/axios-0.18.0.min.js HTTP/1.1" 200 12941
INFO 2020-08-01 15:38:21,817 basehttp 154 "GET /static/js/register.js HTTP/1.1" 200 2763
INFO 2020-08-01 15:38:21,820 basehttp 154 "GET /static/js/vue-2.5.16.js HTTP/1.1" 200 289307
INFO 2020-08-01 15:38:21,823 basehttp 154 "GET /static/images/pic_code.jpg HTTP/1.1" 200 4507
INFO 2020-08-01 15:38:21,834 basehttp 154 "GET /static/images/interval_line.png HTTP/1.1" 200 1123
INFO 2020-08-01 15:38:21,837 basehttp 154 "GET /static/images/register_banner.png HTTP/1.1" 200 54894
INFO 2020-08-01 15:38:21,839 basehttp 154 "GET /static/images/icons02.png HTTP/1.1" 200 3935
WARNING 2020-08-01 15:38:21,904 basehttp 154 "GET /static/js/axios.min.map HTTP/1.1" 404 1672
INFO 2020-08-01 16:19:30,526 autoreload 203 D:\郝艺杰\Django项目自己写\lgshop\apps\users\views.py changed, reloading.
INFO 2020-08-01 16:19:31,617 autoreload 578 Watching for file changes with StatReloader
INFO 2020-08-01 16:29:30,159 autoreload 203 D:\郝艺杰\Django项目自己写\lgshop\apps\users\urls.py changed, reloading.
INFO 2020-08-01 16:29:31,260 autoreload 578 Watching for file changes with StatReloader
INFO 2020-08-02 09:46:44,443 autoreload 203 D:\郝艺杰\Django项目自己写\lgshop\lgshop\urls.py changed, reloading.
INFO 2020-08-02 09:46:45,759 autoreload 578 Watching for file changes with StatReloader
INFO 2020-08-02 13:37:15,781 autoreload 578 Watching for file changes with StatReloader
INFO 2020-08-02 13:39:37,789 autoreload 578 Watching for file changes with StatReloader
WARNING 2020-08-02 13:39:41,508 log 222 Not Found: /
WARNING 2020-08-02 13:39:41,509 basehttp 154 "GET / HTTP/1.1" 404 2103
INFO 2020-08-02 13:39:54,571 basehttp 154 "GET /users/register/ HTTP/1.1" 200 3540
INFO 2020-08-02 13:39:54,598 basehttp 154 "GET /static/js/register.js HTTP/1.1" 200 4280
INFO 2020-08-02 13:39:54,617 basehttp 154 "GET /static/js/common.js%20 HTTP/1.1" 200 891
WARNING 2020-08-02 13:39:58,472 basehttp 154 "GET /static/js/axios.min.map HTTP/1.1" 404 1672
